시도,시군구,연도,호수,면적
인천,중구,2017,5970,473
인천,중구,2018,4015,334
인천,중구,2019,5262,403
인천,중구,2020,8272,638
인천,중구,2021,7158,552
인천,중구,2022,3759,289
인천,중구,2023,3729,298
인천,중구,2024,4575,354
전남,강진군,2015,119,8
전남,강진군,2016,104,7
전남,강진군,2017,144,11
전남,강진군,2018,369,30
전남,강진군,2019,200,15
전남,강진군,2020,209,16
전남,강진군,2021,141,11
전남,강진군,2022,100,7
전남,강진군,2023,292,15
전남,강진군,2024,85,7
전남,고흥군,2015,279,19
전남,고흥군,2016,222,15
전남,고흥군,2017,277,20
전남,고흥군,2018,367,24
전남,고흥군,2019,279,19
전남,고흥군,2020,566,42
전남,고흥군,2021,421,31
전남,고흥군,2022,680,54
전남,고흥군,2023,258,17
전남,고흥군,2024,316,23
전남,곡성군,2015,39,2
전남,곡성군,2016,47,3
전남,곡성군,2017,62,4
전남,곡성군,2018,101,7
전남,곡성군,2019,177,7
전남,곡성군,2020,140,8
전남,곡성군,2021,77,4
전남,곡성군,2022,46,3
전남,곡성군,2023,50,0
전남,곡성군,2024,40,2
전남,광양시,2015,2934,192
전남,광양시,2016,3357,225
전남,광양시,2017,6575,486
전남,광양시,2018,5131,359
전남,광양시,2019,6002,411
전남,광양시,2020,7634,547
전남,광양시,2021,6125,442
전남,광양시,2022,3341,227
전남,광양시,2023,3975,278
전남,광양시,2024,3748,272
전남,구례군,2015,138,10
전남,구례군,2016,84,6
전남,구례군,2017,63,4
전남,구례군,2018,97,7
전남,구례군,2019,101,8
전남,구례군,2020,105,8
전남,구례군,2021,182,16
전남,구례군,2022,337,27
전남,구례군,2023,75,7
전남,구례군,2024,187,15
전남,나주시,2015,6895,545
전남,나주시,2016,5428,412
전남,나주시,2017,3513,265
전남,나주시,2018,3956,308
전남,나주시,2019,1778,132
전남,나주시,2020,2418,184
전남,나주시,2021,4676,367
전남,나주시,2022,4830,410
전남,나주시,2023,1242,92
전남,나주시,2024,1395,104
전남,담양군,2015,264,19
전남,담양군,2016,53,4
전남,담양군,2017,74,7
전남,담양군,2018,475,39
전남,담양군,2019,373,31
전남,담양군,2020,300,24
전남,담양군,2021,153,13
전남,담양군,2022,51,4
전남,담양군,2023,236,21
전남,담양군,2024,192,13
전남,목포시,2015,6856,526
전남,목포시,2016,5494,418
전남,목포시,2017,5902,430
전남,목포시,2018,6283,462
전남,목포시,2019,4002,300
전남,목포시,2020,6863,520
전남,목포시,2021,6271,489
전남,목포시,2022,3542,260
전남,목포시,2023,3755,283
전남,목포시,2024,3311,248
전남,무안군,2015,1066,84
전남,무안군,2016,1081,80
전남,무안군,2017,1156,93
전남,무안군,2018,4245,385
전남,무안군,2019,1187,103
전남,무안군,2020,3156,267
전남,무안군,2021,2301,188
전남,무안군,2022,4531,363
전남,무안군,2023,994,81
전남,무안군,2024,1885,153
전남,보성군,2015,149,11
전남,보성군,2016,232,17
전남,보성군,2017,313,24
전남,보성군,2018,186,13
전남,보성군,2019,142,10
전남,보성군,2020,171,12
전남,보성군,2021,243,17
전남,보성군,2022,102,7
전남,보성군,2023,120,8
전남,보성군,2024,106,18
전남,순천시,2015,9159,695
전남,순천시,2016,7462,529
전남,순천시,2017,6491,482
전남,순천시,2018,9437,730
전남,순천시,2019,9543,728
전남,순천시,2020,14363,1132
전남,순천시,2021,5979,415
전남,순천시,2022,6646,544
전남,순천시,2023,4910,362
전남,순천시,2024,6878,539
전남,신안군,2015,2,0
전남,신안군,2016,0,0
전남,신안군,2017,1,0
전남,신안군,2018,1,0
전남,신안군,2019,2,0
전남,신안군,2020,1,0
전남,신안군,2021,3,0
전남,신안군,2022,4,0
전남,신안군,2023,5,0
전남,신안군,2024,8,0
전남,여수시,2015,4460,330
전남,여수시,2016,5015,340
전남,여수시,2017,6306,460
전남,여수시,2018,5972,444
전남,여수시,2019,8963,669
전남,여수시,2020,9089,657
전남,여수시,2021,4512,311
전남,여수시,2022,2455,170
전남,여수시,2023,2449,179
전남,여수시,2024,5301,426
전남,영광군,2015,279,19
전남,영광군,2016,288,20
전남,영광군,2017,538,35
전남,영광군,2018,496,34
전남,영광군,2019,386,27
전남,영광군,2020,607,46
전남,영광군,2021,415,29
전남,영광군,2022,663,53
전남,영광군,2023,247,17
전남,영광군,2024,347,26
전남,영암군,2015,950,56
전남,영암군,2016,1334,82
전남,영암군,2017,1012,61
전남,영암군,2018,523,31
전남,영암군,2019,470,28
전남,영암군,2020,1238,69
전남,영암군,2021,668,40
전남,영암군,2022,383,23
전남,영암군,2023,628,37
전남,영암군,2024,530,32
전남,완도군,2015,203,16
전남,완도군,2016,449,31
전남,완도군,2017,125,9
전남,완도군,2018,208,15
전남,완도군,2019,124,9
전남,완도군,2020,141,10
전남,완도군,2021,339,29
전남,완도군,2022,82,6
전남,완도군,2023,113,9
전남,완도군,2024,146,11
전남,장성군,2015,163,12
전남,장성군,2016,98,7
전남,장성군,2017,109,7
전남,장성군,2018,135,8
전남,장성군,2019,178,13
전남,장성군,2020,200,13
전남,장성군,2021,204,12
전남,장성군,2022,133,9
전남,장성군,2023,3260,256
전남,장성군,2024,919,62
전남,장흥군,2015,133,10
전남,장흥군,2016,146,10
전남,장흥군,2017,203,15
전남,장흥군,2018,310,23
전남,장흥군,2019,296,21
전남,장흥군,2020,156,11
전남,장흥군,2021,172,12
전남,장흥군,2022,265,21
전남,장흥군,2023,144,11
전남,장흥군,2024,141,11
전남,진도군,2015,91,7
전남,진도군,2016,104,8
전남,진도군,2017,98,7
전남,진도군,2018,192,15
전남,진도군,2019,118,9
전남,진도군,2020,150,10
전남,진도군,2021,66,5
전남,진도군,2022,49,4
전남,진도군,2023,39,0
전남,진도군,2024,49,2
전남,함평군,2015,72,5
전남,함평군,2016,49,3
전남,함평군,2017,53,4
전남,함평군,2018,56,4
전남,함평군,2019,94,6
전남,함평군,2020,213,16
전남,함평군,2021,128,9
전남,함평군,2022,114,8
전남,함평군,2023,174,13
전남,함평군,2024,131,9
전남,해남군,2015,614,41
전남,해남군,2016,302,21
전남,해남군,2017,936,77
전남,해남군,2018,457,34
전남,해남군,2019,501,37
전남,해남군,2020,591,45
전남,해남군,2021,494,39
전남,해남군,2022,403,29
전남,해남군,2023,312,24
전남,해남군,2024,314,23
전남,화순군,2015,1333,89
전남,화순군,2016,809,54
전남,화순군,2017,449,31
전남,화순군,2018,1116,84
전남,화순군,2019,2091,174
전남,화순군,2020,855,61
전남,화순군,2021,960,73
전남,화순군,2022,1183,87
전남,화순군,2023,462,30
전남,화순군,2024,550,39
전북,고창군,2015,200,12
전북,고창군,2016,247,16
전북,고창군,2017,468,32
전북,고창군,2018,230,15
전북,고창군,2019,240,15
전북,고창군,2020,282,19
전북,고창군,2021,198,13
전북,고창군,2022,155,10
전북,고창군,2023,412,33
전북,고창군,2024,172,12
전북,군산시,2015,7444,539
전북,군산시,2016,4732,338
전북,군산시,2017,4586,340
전북,군산시,2018,8560,648
전북,군산시,2019,6615,512
전북,군산시,2020,7902,576
전북,군산시,2021,9716,739
전북,군산시,2022,7059,523
전북,군산시,2023,6497,507
전북,군산시,2024,6426,498
전북,김제시,2015,1251,80
전북,김제시,2016,1656,115
전북,김제시,2017,928,64
전북,김제시,2018,770,52
전북,김제시,2019,672,45
전북,김제시,2020,827,55
전북,김제시,2021,939,66
전북,김제시,2022,590,38
전북,김제시,2023,879,57
전북,김제시,2024,902,67
전북,남원시,2015,607,42
전북,남원시,2016,928,62
전북,남원시,2017,563,39
전북,남원시,2018,508,34
전북,남원시,2019,524,36
전북,남원시,2020,1125,85
전북,남원시,2021,702,49
전북,남원시,2022,1470,112
전북,남원시,2023,534,38
전북,남원시,2024,1026,76
전북,무주군,2015,120,9
전북,무주군,2016,122,8
전북,무주군,2017,72,5
전북,무주군,2018,62,4
전북,무주군,2019,70,5
전북,무주군,2020,137,10
전북,무주군,2021,141,11
전북,무주군,2022,109,9
전북,무주군,2023,114,8
전북,무주군,2024,80,6
전북,부안군,2015,802,56
전북,부안군,2016,235,14
전북,부안군,2017,466,36
전북,부안군,2018,988,78
전북,부안군,2019,402,26
전북,부안군,2020,772,56
전북,부안군,2021,437,30
전북,부안군,2022,359,24
전북,부안군,2023,213,13
전북,부안군,2024,264,18
전북,순창군,2015,40,3
전북,순창군,2016,42,3
전북,순창군,2017,198,15
전북,순창군,2018,206,17
전북,순창군,2019,134,10
전북,순창군,2020,100,7
전북,순창군,2021,384,33
전북,순창군,2022,123,10
전북,순창군,2023,154,13
전북,순창군,2024,86,7
전북,완주군,2015,790,52
전북,완주군,2016,1173,82
전북,완주군,2017,2060,145
전북,완주군,2018,1549,107
전북,완주군,2019,1873,133
전북,완주군,2020,4406,321
전북,완주군,2021,4363,320
전북,완주군,2022,1776,121
전북,완주군,2023,2192,157
전북,완주군,2024,2003,137
전북,익산시,2015,5960,408
전북,익산시,2016,5757,384
전북,익산시,2017,5943,402
전북,익산시,2018,6742,479
전북,익산시,2019,4407,286
전북,익산시,2020,6400,451
전북,익산시,2021,8419,571
전북,익산시,2022,10672,816
전북,익산시,2023,4670,328
전북,익산시,2024,5172,379
전북,임실군,2015,86,5
전북,임실군,2016,125,10
전북,임실군,2017,248,17
전북,임실군,2018,194,14
전북,임실군,2019,72,5
전북,임실군,2020,92,6
전북,임실군,2021,108,7
전북,임실군,2022,111,7
전북,임실군,2023,85,6
전북,임실군,2024,129,10
전북,장수군,2015,34,2
전북,장수군,2016,19,1
전북,장수군,2017,13,1
전북,장수군,2018,61,5
전북,장수군,2019,41,3
전북,장수군,2020,37,3
전북,장수군,2021,23,2
전북,장수군,2022,21,1
전북,장수군,2023,10,0
전북,장수군,2024,19,1
전북,전주시,2015,34550,2662
전북,전주시,2016,36854,2787
전북,전주시,2017,40236,3096
전북,전주시,2018,55480,4473
전북,전주시,2019,41266,3318
전북,전주시,2020,46240,3614
전북,전주시,2021,31602,2275
전북,전주시,2022,18344,1294
전북,전주시,2023,18302,1514
전북,전주시,2024,28162,2203
전북,정읍시,2015,1259,84
전북,정읍시,2016,1159,74
전북,정읍시,2017,2451,178
전북,정읍시,2018,1408,101
전북,정읍시,2019,1360,93
전북,정읍시,2020,2656,187
전북,정읍시,2021,1134,78
전북,정읍시,2022,873,57
전북,정읍시,2023,1640,125
전북,정읍시,2024,1056,73
전북,진안군,2015,53,3
전북,진안군,2016,54,4
전북,진안군,2017,36,2
전북,진안군,2018,58,4
전북,진안군,2019,31,2
전북,진안군,2020,43,3
전북,진안군,2021,49,3
전북,진안군,2022,44,3
전북,진안군,2023,51,2
전북,진안군,2024,44,2
제주,서귀포시,2015,3804,273
제주,서귀포시,2016,3762,270
제주,서귀포시,2017,2234,160
제주,서귀포시,2018,1934,112
제주,서귀포시,2019,1401,84
제주,서귀포시,2020,1601,108
제주,서귀포시,2021,1990,146
제주,서귀포시,2022,1161,82
제주,서귀포시,2023,921,66
제주,서귀포시,2024,938,66
제주,제주시,2015,4841,335
제주,제주시,2016,4393,297
제주,제주시,2017,4856,350
제주,제주시,2018,4633,300
제주,제주시,2019,3325,230
제주,제주시,2020,3529,256
제주,제주시,2021,4708,343
제주,제주시,2022,3253,240
제주,제주시,2023,2428,173
제주,제주시,2024,3767,300
충남,계룡시,2015,764,58
충남,계룡시,2016,1270,92
충남,계룡시,2017,911,72
충남,계룡시,2018,603,47
충남,계룡시,2019,745,59
충남,계룡시,2020,3063,218
충남,계룡시,2021,2690,190
충남,계룡시,2022,639,41
충남,계룡시,2023,1220,90
충남,계룡시,2024,1000,73
충남,공주시,2015,1082,71
충남,공주시,2016,948,65
충남,공주시,2017,2056,138
충남,공주시,2018,1791,124
충남,공주시,2019,892,61
충남,공주시,2020,2477,175
충남,공주시,2021,1299,81
충남,공주시,2022,1148,83
충남,공주시,2023,851,61
충남,공주시,2024,1280,94
충남,금산군,2015,1048,69
충남,금산군,2016,415,25
충남,금산군,2017,272,16
충남,금산군,2018,319,16
충남,금산군,2019,277,16
충남,금산군,2020,1108,76
충남,금산군,2021,1073,74
충남,금산군,2022,481,31
충남,금산군,2023,349,20
충남,금산군,2024,307,17
충남,논산시,2015,1726,115
충남,논산시,2016,1090,74
충남,논산시,2017,1425,95
충남,논산시,2018,1669,131
충남,논산시,2019,1565,117
충남,논산시,2020,1349,96
충남,논산시,2021,1176,76
충남,논산시,2022,1140,80
충남,논산시,2023,970,70
충남,논산시,2024,1242,93
충남,당진시,2015,4930,357
충남,당진시,2016,4267,318
충남,당진시,2017,2403,179
충남,당진시,2018,4247,312
충남,당진시,2019,2206,161
충남,당진시,2020,7022,557
충남,당진시,2021,9204,710
충남,당진시,2022,4541,348
충남,당진시,2023,2802,215
충남,당진시,2024,3096,234
충남,보령시,2015,1445,102
충남,보령시,2016,762,51
충남,보령시,2017,2622,203
충남,보령시,2018,1073,78
충남,보령시,2019,1203,86
충남,보령시,2020,1503,108
충남,보령시,2021,1129,76
충남,보령시,2022,780,52
충남,보령시,2023,773,54
충남,보령시,2024,1340,105
충남,부여군,2015,158,10
충남,부여군,2016,179,12
충남,부여군,2017,328,22
충남,부여군,2018,762,54
충남,부여군,2019,276,18
충남,부여군,2020,446,31
충남,부여군,2021,432,30
충남,부여군,2022,230,15
충남,부여군,2023,170,11
충남,부여군,2024,226,13
충남,서산시,2015,5119,395
충남,서산시,2016,5293,363
충남,서산시,2017,4998,353
충남,서산시,2018,6318,471
충남,서산시,2019,3041,225
충남,서산시,2020,5257,409
충남,서산시,2021,6048,459
충남,서산시,2022,2577,180
충남,서산시,2023,2353,168
충남,서산시,2024,3109,240
충남,서천군,2015,251,20
충남,서천군,2016,198,14
충남,서천군,2017,121,9
충남,서천군,2018,455,37
충남,서천군,2019,343,22
충남,서천군,2020,457,32
충남,서천군,2021,351,26
충남,서천군,2022,218,16
충남,서천군,2023,167,14
충남,서천군,2024,205,15
충남,아산시,2015,11249,777
충남,아산시,2016,9943,683
충남,아산시,2017,14843,1015
충남,아산시,2018,7655,578
충남,아산시,2019,10663,830
충남,아산시,2020,11445,817
충남,아산시,2021,24205,1706
충남,아산시,2022,8526,561
충남,아산시,2023,12733,933
충남,아산시,2024,14457,1054
충남,예산군,2015,655,46
충남,예산군,2016,529,36
충남,예산군,2017,1237,92
충남,예산군,2018,1225,90
충남,예산군,2019,790,55
충남,예산군,2020,2457,191
충남,예산군,2021,2916,222
충남,예산군,2022,1356,91
충남,예산군,2023,1322,115
충남,예산군,2024,1133,84
충남,천안시,2015,43624,3180
충남,천안시,2016,40340,2825
충남,천안시,2017,46330,3437
충남,천안시,2018,46164,3367
충남,천안시,2019,46660,3454
충남,천안시,2020,59680,4358
충남,천안시,2021,51298,3460
충남,천안시,2022,38728,2760
충남,천안시,2023,35640,2555
충남,천안시,2024,32790,2392
충남,청양군,2015,90,4
충남,청양군,2016,58,3
충남,청양군,2017,56,3
충남,청양군,2018,70,4
충남,청양군,2019,54,3
충남,청양군,2020,132,9
충남,청양군,2021,94,6
충남,청양군,2022,71,5
충남,청양군,2023,63,3
충남,청양군,2024,83,5
충남,태안군,2015,490,29
충남,태안군,2016,681,49
충남,태안군,2017,642,44
충남,태안군,2018,868,64
충남,태안군,2019,627,44
충남,태안군,2020,932,60
충남,태안군,2021,719,47
충남,태안군,2022,402,25
충남,태안군,2023,457,27
충남,태안군,2024,387,25
충남,홍성군,2015,2374,174
충남,홍성군,2016,3422,265
충남,홍성군,2017,1163,87
충남,홍성군,2018,960,72
충남,홍성군,2019,1031,76
충남,홍성군,2020,1671,127
충남,홍성군,2021,4577,359
충남,홍성군,2022,2881,230
충남,홍성군,2023,1774,142
충남,홍성군,2024,2383,189
충북,괴산군,2015,63,4
충북,괴산군,2016,64,4
충북,괴산군,2017,254,17
충북,괴산군,2018,58,3
충북,괴산군,2019,48,3
충북,괴산군,2020,68,5
충북,괴산군,2021,51,3
충북,괴산군,2022,54,4
충북,괴산군,2023,48,1
충북,괴산군,2024,50,2
충북,단양군,2015,145,8
충북,단양군,2016,142,7
충북,단양군,2017,231,14
충북,단양군,2018,457,28
충북,단양군,2019,229,14
충북,단양군,2020,163,8
충북,단양군,2021,752,56
충북,단양군,2022,160,10
충북,단양군,2023,316,22
충북,단양군,2024,164,9
충북,보은군,2015,216,16
충북,보은군,2016,184,12
충북,보은군,2017,247,16
충북,보은군,2018,227,16
충북,보은군,2019,520,38
충북,보은군,2020,285,20
충북,보은군,2021,183,12
충북,보은군,2022,300,21
충북,보은군,2023,279,24
충북,보은군,2024,306,22
충북,영동군,2015,283,20
충북,영동군,2016,999,57
충북,영동군,2017,350,21
충북,영동군,2018,252,15
충북,영동군,2019,224,15
충북,영동군,2020,207,13
충북,영동군,2021,307,22
충북,영동군,2022,298,21
충북,영동군,2023,254,16
충북,영동군,2024,339,22
충북,옥천군,2015,244,16
충북,옥천군,2016,273,18
충북,옥천군,2017,723,50
충북,옥천군,2018,578,40
충북,옥천군,2019,524,37
충북,옥천군,2020,563,37
충북,옥천군,2021,736,49
충북,옥천군,2022,555,43
충북,옥천군,2023,448,34
충북,옥천군,2024,594,46
충북,음성군,2015,2203,132
충북,음성군,2016,1587,101
충북,음성군,2017,2476,177
충북,음성군,2018,1700,114
충북,음성군,2019,1749,122
충북,음성군,2020,1703,113
충북,음성군,2021,1744,114
충북,음성군,2022,4678,367
충북,음성군,2023,3116,244
충북,음성군,2024,2090,155
충북,제천시,2015,2490,162
충북,제천시,2016,2774,194
충북,제천시,2017,3075,206
충북,제천시,2018,2705,220
충북,제천시,2019,2169,147
충북,제천시,2020,2733,180
충북,제천시,2021,2757,166
충북,제천시,2022,3201,228
충북,제천시,2023,1735,112
충북,제천시,2024,2270,147
충북,증평군,2015,806,51
충북,증평군,2016,588,38
충북,증평군,2017,395,26
충북,증평군,2018,312,21
충북,증평군,2019,303,20
충북,증평군,2020,1919,130
충북,증평군,2021,1580,112
충북,증평군,2022,993,65
충북,증평군,2023,633,42
충북,증평군,2024,524,34
충북,진천군,2015,1063,63
충북,진천군,2016,2159,153
충북,진천군,2017,1615,106
충북,진천군,2018,3906,298
충북,진천군,2019,1186,84
충북,진천군,2020,1234,88
충북,진천군,2021,6587,484
충북,진천군,2022,1692,122
충북,진천군,2023,1738,116
충북,진천군,2024,1177,78
충북,청주시,2015,39970,2917
충북,청주시,2016,39266,2698
충북,청주시,2017,43806,3089
충북,청주시,2018,57078,4330
충북,청주시,2019,47968,3662
충북,청주시,2020,57938,4378
충북,청주시,2021,56460,3910
충북,청주시,2022,34182,2514
충북,청주시,2023,42326,3229
충북,청주시,2024,47002,3702
충북,충주시,2015,3302,213
충북,충주시,2016,6125,387
충북,충주시,2017,5718,389
충북,충주시,2018,6951,482
충북,충주시,2019,3882,278
충북,충주시,2020,5802,372
충북,충주시,2021,8014,521
충북,충주시,2022,5391,367
충북,충주시,2023,3652,249
충북,충주시,2024,3875,258
